title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Nine jackies,ANDY WARHOL (b. 1928 d. 1987),"""acrylic and silkscreen ink on linen, on nine canvases""",$401K,$12.4M,30.9x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/nine-jackies-1964-w:25f5aa8d939f04b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010412lot25.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen on canvas,$376.5K,$11.4M,30.2x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1964-w:f33bcb90e0dc33a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2440lot22.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$22K,$632.9K,28.8x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1981-w:a2fd73beed4ba6d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16024lot238.jpg
Campbell's soup can (beef consomme),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and graphite on canvas,$13.3K,$376.5K,28.4x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-soup-can-(beef-consomme)-1962-w:b9ea758d9e452bb,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN8532lot31.jpg
Princess diana,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$57.5K,$1.5M,26.8x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/princess-diana-1982-w:bb7bfc4e7235136,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PUK010312lot11.jpg
Single troy,ANDY WARHOL (b. 1928 d. 1987),newsprint mounted on canvas,$6.6K,$163K,24.7x,22 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/single-troy-1960-w:b7521f9f40af1e8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07727lot43.jpg
Woman with roses and cupids,ANDY WARHOL (b. 1928 d. 1987),hand-colored blotted ink line drawing on paper,$1.7K,$37.5K,21.7x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/woman-with-roses-and-cupids-1956-w:17ab84bfc0ac27d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010613lot278.jpg
Jackie,ANDY WARHOL (b. 1928 d. 1987),acrylic on silkscreen ink on canvas,$90.5K,$1.9M,21.2x,18 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/jackie-1964-w:bac93bb1dcfb0b4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL16022lot52.jpg
Robot (from toy series,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$8.6K,$175.6K,20.4x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/robot-(from-toy-series-1983-w:aa6b17cda62d7b4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL5710lot224.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer silkscreen ink on canvas,$27.5K,$528.2K,19.2x,30 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1982-w:f4da0dae1530523,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL5539lot220.jpg
Two dollar bills (fronts) [40 two dollar bills in red],ANDY WARHOL (b. 1928 d. 1987),"""silkscreen ink, acrylic and pencil on linen""",$319K,$6M,18.8x,28 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-dollar-bills-(fronts)-[40-two-dollar-bills-in-red]-1962-w:1a99280fb8c650e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL11797lot63.jpg
Women and flowers,ANDY WARHOL (b. 1928 d. 1987),hand-colored blotted ink line drawing on paper,$1.6K,$30K,18.6x,22 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/women-and-flowers-1957-w:30d2fc86e72f61d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010817lot328.jpg
Two dollar bill,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$16.5K,$305K,18.5x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-dollar-bill-1962-w:55c7aefe427c2ed,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/DN2792lot350.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),silkscreen ink on linen,$16.5K,$297.8K,18x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1965-w:8b0e146e01830c8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14905lot304.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$203.1K,$3.6M,17.8x,13 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1981-w:22681a934e2f239,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7296lot777.jpg
Happy,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$38.5K,$669.5K,17.4x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/happy-1968-w:4ba3c2eeb6845ed,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN07842lot54.jpg
Self-portrait (fright wig),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$662.6K,$11.4M,17.2x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-(fright-wig)-1986-w:b3a71c418677a2f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL12026lot552.jpg
Campbell's chicken noodle soup box,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$21.9K,$370.7K,17x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-chicken-noodle-soup-box-1986-w:a55984de722ee67,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL08021lot169.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$16.5K,$277.2K,16.8x,31 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-w:e4cef9ad0afb980,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot257.jpg
One dollar bill (back),ANDY WARHOL (b. 1928 d. 1987),silkscreen ink on linen,$22K,$365K,16.6x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/one-dollar-bill-(back)-1962-w:a5db2c38220572f,False,
Group of five campbell's soup cans,ANDY WARHOL (b. 1928 d. 1987),acrylic and pencil on canvas,$290.4K,$4.6M,15.9x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/group-of-five-campbell's-soup-cans-1962-w:92fc2164fe3cfd3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN9576lot23.jpg
Lenin,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$314K,$4.7M,15.1x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/lenin-1986-w:8926cae34d3cde7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15024lot33.jpg
Marilyn,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$86K,$1.3M,15x,33 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/marilyn-1986-w:27603529f1865b2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN19808lot59.jpg
Hammer and sickle,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$231K,$3.4M,14.9x,23 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hammer-and-sickle-1977-w:c80fb66af411d18,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1232lot317.jpg
Witch,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas.,$178.5K,$2.7M,14.9x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/witch-1981-w:b466558a6614f61,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010111lot319.jpg
Robot (toy painting),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$13.2K,$194.5K,14.7x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/robot-(toy-painting)-1983-w:6d378e25d843a85,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08745lot317.jpg
Marlon,ANDY WARHOL (b. 1928 d. 1987),silkscreen ink on linen,$1.7M,$23.7M,14.4x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/marlon-1966-w:c6f6b1d63d6b401,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1232lot46.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on linen,$115.5K,$1.6M,14.1x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:c88388fffb7e0e2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL15024lot326.jpg
Lifesavers,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$58.9K,$795.6K,13.5x,31 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/lifesavers-1985-w:7182558cd04073e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK010121lot438.jpg
Panda drummer (clockwork),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$20.4K,$275.4K,13.5x,23 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/panda-drummer-(clockwork)-1983-w:d2e01d2d5090ad0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL18619lot396.jpg
Panda drummer,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas--unframed,$20.4K,$275.4K,13.5x,23 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/panda-drummer-1983-w:f048151d4f4b1c5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN9780lot230.jpg
Nine multicoloured marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$585.5K,$7.8M,13.3x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/nine-multicoloured-marilyns-(reversal-series)-1986-w:b0d1b24c577c4e2,False,
Colored campbell's soup can,ANDY WARHOL (b. 1928 d. 1987),silk-screen and acrylic on canvas,$18.2K,$242.6K,13.3x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/colored-campbell's-soup-can-1965-w:3f29ac9886d2a35,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL21841lot37A.jpg
Flowers (feldman & schellmann ii.69),ANDY WARHOL (b. 1928 d. 1987),"""(firmato e datato con penna a sfera sul verso, timbro con numero 113/250""",$10.3K,$135.1K,13.1x,18 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-(feldman-&-schellmann-ii.69)-w:66eacf77fa0075d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SMIOL28lot33.jpg
Four marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),acrylic on silkscreen ink on canvas,$299.5K,$3.8M,12.8x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/four-marilyns-(reversal-series)-1986-w:e32d9bca354d106,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16022lot286.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$35.6K,$436.4K,12.2x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1980-w:590aa590cab7344,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL16023lot294.jpg
Marilyn (reversal),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$121.5K,$1.5M,12.1x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/marilyn-(reversal)-1986-w:02fd82938cc0ea2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14437lot720.jpg
Untitled (train),ANDY WARHOL (b. 1928 d. 1987),ink on paper,$5.7K,$68.8K,12.1x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/untitled-(train)-1952-w:4acb74aa04bbb02,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010817lot339.jpg
Triple dollar sign,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$43.7K,$525.8K,12x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/triple-dollar-sign-1981-w:e484d08ef958999,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL08021lot405.jpg
"""self-portrait with skeleton arm and madonna"" after edvard munch""",ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen inks on canvas,$165K,$1.9M,11.7x,25 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/%22self-portrait-with-skeleton-arm-and-madonna%22-after-edvard-munch%22-1984-w:1a58fb8e74f0dba,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SS3391lot192.jpg
One dollar,ANDY WARHOL (b. 1928 d. 1987),watercolor and graphite on paper,$489.8K,$5.3M,10.9x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/one-dollar-1961-w:4144783b119ac1e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1903lot39.jpg
Mao,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on linen,$962.6K,$10.4M,10.8x,21 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/mao-1973-w:68f8fab9194ba5b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010212lot45.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),"""acrylic and silkscreen ink on canvas, in 6 parts""",$17.8K,$184.2K,10.3x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:1d11cf72c96b96f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08442lot211B.jpg
Avanti cars,ANDY WARHOL (b. 1928 d. 1987),"""acrylic, silkscreen ink and pencil on canvas""",$129K,$1.3M,10x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/avanti-cars-1962-w:8d066966fa55925,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08243lot46.jpg
Fifteen one dollar bills,ANDY WARHOL (b. 1928 d. 1987),ink and pencil on japanese rice paper,$93.5K,$902.5K,9.7x,21 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/fifteen-one-dollar-bills-1962-w:15816a14b8934e9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1078lot174.jpg
16 jackies,ANDY WARHOL (b. 1928 d. 1987),"""synthetic polymer and ink silkscreened on canvas, in sixteen panels""",$45.5K,$418K,9.2x,18 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/16-jackies-1965-w:cbdfc3fc5b98661,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN6289lot26.jpg
Poinsettia,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$8.3K,$75K,9.1x,24 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/poinsettia-1982-w:6fc8b09dba8b20e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN14188lot276.jpg
Nine multicolored marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$827.5K,$7.4M,8.9x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/nine-multicolored-marilyns-(reversal-series)-1979-w:89dd952a5401118,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN2785lot34.jpg
Mona lisa,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$684.5K,$6M,8.7x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/mona-lisa-1978-w:e27f0d21f8392ff,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2355lot515.jpg
Diamond dust shadows (two works),ANDY WARHOL (b. 1928 d. 1987),"""acrylic, diamond dust and silkscreen ink on canvas, in two parts""",$290.4K,$2.5M,8.6x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/diamond-dust-shadows-(two-works)-1979-w:f6d29a727e0f75b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL20022lot362.jpg
Enrico carminati jr. (triptyque),ANDY WARHOL (b. 1928 d. 1987),silkscreen ink and polymer synthetic paint on canvas,$47.2K,$402.4K,8.5x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/enrico-carminati-jr.-(triptyque)-1978-w:1913259143595ee,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP1061lot74.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$17.3K,$146.5K,8.5x,13 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:3a09a884012bbf1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2465lot308.jpg
Statue of liberty,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$453.5K,$3.7M,8.2x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/statue-of-liberty-1986-w:d852857af385279,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN12156lot27.jpg
Perrier bottles,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$49.5K,$390K,7.9x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/perrier-bottles-1983-w:f494367df231f31,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08318lot104.jpg
Flash sharivan robot,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$12K,$93.8K,7.8x,13 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flash-sharivan-robot-1983-w:40c296e584f96f2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010413lot315.jpg
Portrait of florinda bolkan,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$75.2K,$580.5K,7.7x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/portrait-of-florinda-bolkan-1981-w:d1425cc9fb40f5a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7978lot177.jpg
Ladies and gentlemen,ANDY WARHOL (b. 1928 d. 1987),pencil on paper,$15.3K,$116.4K,7.6x,23 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/ladies-and-gentlemen-1973-w:51c821f3c564af5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CPF1961lot97.jpg
Portrait of roy lichtenstein,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$55.2K,$413K,7.5x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/portrait-of-roy-lichtenstein-1976-w:4f1ca1c879eb3f5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08364lot158.jpg
Portrait of prince charles,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$80.6K,$597.7K,7.4x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/portrait-of-prince-charles-1982-w:fe502f3e59f6a20,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7408lot121.jpg
Campbell's soup box (chicken noodle),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$37.6K,$277.2K,7.4x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-soup-box-(chicken-noodle)-w:3917e977d03c4b8,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot313.jpg
Liza minelli,ANDY WARHOL (b. 1928 d. 1987),silkscreen on paper,$16.1K,$115.8K,7.2x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/liza-minelli-1978-w:16d6d4c46745af3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11025lot499.jpg
